Artist and Title,Streams,Daily,streams,Occurrence,Artist,title
Journey - Don't Stop Believin',2338948203,1362001.0,2338948203,0,Journey,Don't Stop Believin'
Nirvana - Smells Like Teen Spirit,2334451751,1278747.0,2334451751,0,Nirvana,Smells Like Teen Spirit
Travis Scott - SICKO MODE,2328361354,714691.0,2328361354,0,Travis Scott,SICKO MODE
Elton John - Cold Heart,2317676808,1047773.0,2317676808,0,Elton John,Cold Heart
Lil Uzi Vert - XO Tour Llif3,2313996213,442947.0,2313996213,0,Lil Uzi Vert,XO Tour Llif3
Major Lazer - Lean On,2309084037,767513.0,2309084037,0,Major Lazer,Lean On
The Weeknd - Save Your Tears,2296594436,980350.0,2296594436,0,The Weeknd,Save Your Tears
Oasis - Wonderwall,2284376907,951809.0,2284376907,0,Oasis,Wonderwall
Dua Lipa - New Rules,2278037296,512555.0,2278037296,0,Dua Lipa,New Rules
Dua Lipa - Levitating,2277026899,750791.0,2277026899,0,Dua Lipa,Levitating
Sam Smith - Too Good At Goodbyes,2271063551,627805.0,2271063551,0,Sam Smith,Too Good At Goodbyes
Jung Kook - Seven,2268269740,1907604.0,2268269740,0,Jung Kook,Seven
Queen - Don't Stop Me Now,2267414470,878587.0,2267414470,0,Queen,Don't Stop Me Now
Billie Eilish - BIRDS OF A FEATHER,2264579370,5089552.0,2264579370,0,Billie Eilish,BIRDS OF A FEATHER
Sam Smith - Stay With Me,2261403742,591731.0,2261403742,0,Sam Smith,Stay With Me
Coldplay - The Scientist,2258410575,1694170.0,2258410575,0,Coldplay,The Scientist
Mark Ronson - Uptown Funk,2258076747,1184214.0,2258076747,0,Mark Ronson,Uptown Funk
a-ha - Take on Me,2257291523,1301790.0,2257291523,0,a-ha,Take on Me
"Tyler, The Creator - See You Again",2252177567,2152620.0,2252177567,0,"Tyler, The Creator",See You Again
Camila Cabello - Havana,2246634706,656399.0,2246634706,0,Camila Cabello,Havana
Adele - Someone Like You,2238080066,1064845.0,2238080066,0,Adele,Someone Like You
The Goo Goo Dolls - Iris,2237631565,2382180.0,2237631565,0,The Goo Goo Dolls,Iris
Maroon 5 - Memories,2223747399,666935.0,2223747399,0,Maroon 5,Memories
Halsey - Without Me,2218153371,668375.0,2218153371,0,Halsey,Without Me
Eminem - Till I Collapse,2186666194,795758.0,2186666194,0,Eminem,Till I Collapse
Guns N' Roses - Sweet Child O' Mine,2185711620,1171484.0,2185711620,0,Guns N' Roses,Sweet Child O' Mine
Kendrick Lamar - All The Stars,2180248631,3360805.0,2180248631,0,Kendrick Lamar,All The Stars
Mariah Carey - All I Want for Christmas Is You,2170976203,81511.0,2170976203,0,Mariah Carey,All I Want for Christmas Is You
Bad Bunny - DÁKITI,2166920461,764261.0,2166920461,0,Bad Bunny,DÁKITI
Linkin Park - Numb,2161463955,1508666.0,2161463955,0,Linkin Park,Numb
Lewis Capaldi - Before You Go,2148681077,718975.0,2148681077,0,Lewis Capaldi,Before You Go
Maroon 5 - Payphone,2146892522,1124601.0,2146892522,0,Maroon 5,Payphone
Charlie Puth - We Don't Talk Anymore,2143289681,819638.0,2143289681,0,Charlie Puth,We Don't Talk Anymore
Lil Nas X - INDUSTRY BABY,2141200295,396080.0,2141200295,0,Lil Nas X,INDUSTRY BABY
Shawn Mendes - Stitches,2138328114,790758.0,2138328114,0,Shawn Mendes,Stitches
Alan Walker - Faded,2137198834,657089.0,2137198834,0,Alan Walker,Faded
Lukas Graham - 7 Years,2134187584,733873.0,2134187584,0,Lukas Graham,7 Years
Lady Gaga - Die With A Smile,2132616673,6810320.0,2132616673,0,Lady Gaga,Die With A Smile
Sam Smith - I'm Not The Only One,2131700053,760815.0,2131700053,0,Sam Smith,I'm Not The Only One
Mike Posner - I Took A Pill In Ibiza,2127669727,631693.0,2127669727,0,Mike Posner,I Took A Pill In Ibiza
Post Malone - Congratulations,2127248681,477990.0,2127248681,0,Post Malone,Congratulations
Roddy Ricch - The Box,2127018972,541163.0,2127018972,0,Roddy Ricch,The Box
Arctic Monkeys - 505,2120835996,1957375.0,2120835996,0,Arctic Monkeys,505
Queen - Another One Bites The Dust,2118217851,729015.0,2118217851,0,Queen,Another One Bites The Dust
Billie Eilish - when the party's over,2115750336,1034155.0,2115750336,0,Billie Eilish,when the party's over
Eminem - The Real Slim Shady,2110673402,962691.0,2110673402,0,Eminem,The Real Slim Shady
Foster The People - Pumped Up Kicks,2107012473,1132088.0,2107012473,0,Foster The People,Pumped Up Kicks
Manuel Turizo - La Bachata,2095270165,953056.0,2095270165,0,Manuel Turizo,La Bachata
Wiz Khalifa - See You Again,2092125939,618411.0,2092125939,0,Wiz Khalifa,See You Again
Michael Jackson - Billie Jean,2090491293,1176219.0,2090491293,0,Michael Jackson,Billie Jean
Jason Mraz - I'm Yours,2090242743,752159.0,2090242743,0,Jason Mraz,I'm Yours
TOTO - Africa,2090202272,1266368.0,2090202272,0,TOTO,Africa
XXXTENTACION - Moonlight,2086646545,582765.0,2086646545,0,XXXTENTACION,Moonlight
Adele - Easy On Me,2086571196,1251848.0,2086571196,0,Adele,Easy On Me
The Chainsmokers - Don't Let Me Down,2075256007,659524.0,2075256007,0,The Chainsmokers,Don't Let Me Down
Adele - Rolling in the Deep,2075074424,881420.0,2075074424,0,Adele,Rolling in the Deep
Post Malone - Better Now,2073995209,417777.0,2073995209,0,Post Malone,Better Now
One Direction - Night Changes,2066277158,1486654.0,2066277158,0,One Direction,Night Changes
Doja Cat - Kiss Me More,2064981088,810170.0,2064981088,0,Doja Cat,Kiss Me More
Sabrina Carpenter - Espresso,2058583078,3274743.0,2058583078,0,Sabrina Carpenter,Espresso
Radiohead - Creep,2057996500,1550753.0,2057996500,0,Radiohead,Creep
Imagine Dragons - Radioactive,2050773559,651051.0,2050773559,0,Imagine Dragons,Radioactive
The Weeknd - Call Out My Name,2048274626,893218.0,2048274626,0,The Weeknd,Call Out My Name
SAINt JHN - Roses,2046117343,321609.0,2046117343,0,SAINt JHN,Roses
Taylor Swift - Blank Space,2044699582,741432.0,2044699582,0,Taylor Swift,Blank Space
Avicii - The Nights,2044092898,871240.0,2044092898,0,Avicii,The Nights
Eminem - Mockingbird,2042971171,1125643.0,2042971171,0,Eminem,Mockingbird
BTS - Dynamite,2038021865,469096.0,2038021865,0,BTS,Dynamite
Lil Nas X - MONTERO (Call Me By Your Name),2037534577,320333.0,2037534577,0,Lil Nas X,MONTERO (Call Me By Your Name)
24kGoldn - Mood,2029108965,321009.0,2029108965,0,24kGoldn,Mood
Coolio - Gangsta's Paradise,2026257118,1184760.0,2026257118,0,Coolio,Gangsta's Paradise
David Guetta - I’m Good (Blue),2025228172,1178153.0,2025228172,0,David Guetta,I’m Good (Blue)
Gotye - Somebody That I Used To Know,2025136761,1337635.0,2025136761,0,Gotye,Somebody That I Used To Know
Maroon 5 - Sugar,2024747501,721239.0,2024747501,0,Maroon 5,Sugar
Bad Bunny - Me Porto Bonito,2019832595,553323.0,2019832595,0,Bad Bunny,Me Porto Bonito
"Ariana Grande - thank u, next",2014247456,448602.0,2014247456,0,Ariana Grande,"thank u, next"
WALK THE MOON - Shut Up and Dance,2009231927,1146305.0,2009231927,0,WALK THE MOON,Shut Up and Dance
Fleetwood Mac - Dreams,2008295780,1371597.0,2008295780,0,Fleetwood Mac,Dreams
Tears For Fears - Everybody Wants To Rule The World,2003784669,1190311.0,2003784669,0,Tears For Fears,Everybody Wants To Rule The World
J Balvin - LA CANCIÓN,1999955950,1065225.0,1999955950,0,J Balvin,LA CANCIÓN
Charlie Puth - Attention,1998222948,566030.0,1998222948,0,Charlie Puth,Attention
Calvin Harris - We Found Love,1998220888,1151469.0,1998220888,0,Calvin Harris,We Found Love
Rihanna - We Found Love,1998220888,1151469.0,1998220888,0,Rihanna,We Found Love
Arctic Monkeys - Why'd You Only Call Me When You're High?,1994729078,921850.0,1994729078,0,Arctic Monkeys,Why'd You Only Call Me When You're High?
Maroon 5 - Maps,1993187664,948294.0,1993187664,0,Maroon 5,Maps
Lauv - I Like Me Better,1992396571,866725.0,1992396571,0,Lauv,I Like Me Better
Danny Ocean - Me Rehúso,1982026828,781015.0,1982026828,0,Danny Ocean,Me Rehúso
Shakira - Hips Don't Lie,1977407333,1014450.0,1977407333,0,Shakira,Hips Don't Lie
Conan Gray - Heather,1976649000,956891.0,1976649000,0,Conan Gray,Heather
Travis Scott - HIGHEST IN THE ROOM,1972300485,1000859.0,1972300485,0,Travis Scott,HIGHEST IN THE ROOM
Twenty One Pilots - Heathens,1971186567,731479.0,1971186567,0,Twenty One Pilots,Heathens
Ed Sheeran - I Don't Care,1958888969,718080.0,1958888969,0,Ed Sheeran,I Don't Care
Alec Benjamin - Let Me Down Slowly,1957754368,548164.0,1957754368,0,Alec Benjamin,Let Me Down Slowly
Don Omar - Danza Kuduro,1955721189,1339932.0,1955721189,0,Don Omar,Danza Kuduro
Lucenzo - Danza Kuduro,1955721189,1339932.0,1955721189,0,Lucenzo,Danza Kuduro
Calvin Harris - This Is What You Came For,1951970087,590890.0,1951970087,0,Calvin Harris,This Is What You Came For
Benson Boone - Beautiful Things,1946457726,3230519.0,1946457726,0,Benson Boone,Beautiful Things
5 Seconds of Summer - Youngblood,1945005680,563822.0,1945005680,0,5 Seconds of Summer,Youngblood
Sia - Chandelier,1944663562,969121.0,1944663562,0,Sia,Chandelier
Creedence Clearwater Revival - Have You Ever Seen The Rain,1941916496,965772.0,1941916496,0,Creedence Clearwater Revival,Have You Ever Seen The Rain
Twenty One Pilots - Ride,1934704083,576152.0,1934704083,0,Twenty One Pilots,Ride
Adele - Set Fire to the Rain,1930237533,1125515.0,1930237533,0,Adele,Set Fire to the Rain
Keane - Somewhere Only We Know,1929711051,1449265.0,1929711051,0,Keane,Somewhere Only We Know
Dean Lewis - Be Alright,1929484535,658582.0,1929484535,0,Dean Lewis,Be Alright
OneRepublic - I Ain't Worried,1926245531,901920.0,1926245531,0,OneRepublic,I Ain't Worried
ZAYN - Dusk Till Dawn,1926000647,913947.0,1926000647,0,ZAYN,Dusk Till Dawn
"Earth, Wind & Fire - September",1925289175,907425.0,1925289175,0,"Earth, Wind & Fire",September
Sia - Cheap Thrills,1925237618,672171.0,1925237618,0,Sia,Cheap Thrills
The Weeknd - I Feel It Coming,1923097369,742210.0,1923097369,0,The Weeknd,I Feel It Coming
Ruth B. - Dandelions,1922898216,1211197.0,1922898216,0,Ruth B.,Dandelions
Tame Impala - The Less I Know The Better,1920248340,1062926.0,1920248340,0,Tame Impala,The Less I Know The Better
The Weeknd - Can't Feel My Face,1913887056,594827.0,1913887056,0,The Weeknd,Can't Feel My Face
benny blanco - Eastside,1906649397,602629.0,1906649397,0,benny blanco,Eastside
XXXTENTACION - Fuck Love,1898108208,748855.0,1898108208,0,XXXTENTACION,Fuck Love
Ed Sheeran - Bad Habits,1897677888,628120.0,1897677888,0,Ed Sheeran,Bad Habits
The White Stripes - Seven Nation Army,1893514995,734745.0,1893514995,0,The White Stripes,Seven Nation Army
Luis Fonsi - Despacito,1893217500,545132.0,1893217500,0,Luis Fonsi,Despacito
OMI - Cheerleader,1893038826,799875.0,1893038826,0,OMI,Cheerleader
Christina Perri - a thousand years,1892320636,1105322.0,1892320636,0,Christina Perri,a thousand years
Justin Bieber - Ghost,1887825382,779485.0,1887825382,0,Justin Bieber,Ghost
AC/DC - Highway to Hell,1886524170,811391.0,1886524170,0,AC/DC,Highway to Hell
Coldplay - A Sky Full of Stars,1884089960,1538005.0,1884089960,0,Coldplay,A Sky Full of Stars
Juice WRLD - All Girls Are The Same,1882954752,752612.0,1882954752,0,Juice WRLD,All Girls Are The Same
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1874581031,647086.0,1874581031,0,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",1872882693,523366.0,1872882693,0,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52"
Bon Jovi - Livin' On A Prayer,1872630565,824663.0,1872630565,0,Bon Jovi,Livin' On A Prayer
Olivia Rodrigo - deja vu,1870548364,915287.0,1870548364,0,Olivia Rodrigo,deja vu
Wham! - Last Christmas,1870540506,127070.0,1870540506,0,Wham!,Last Christmas
David Guetta - Titanium,1870123630,1100416.0,1870123630,0,David Guetta,Titanium
The Walters - I Love You So,1859313449,1243753.0,1859313449,0,The Walters,I Love You So
The Weeknd - Earned It (Fifty Shades Of Grey),1855950894,681793.0,1855950894,0,The Weeknd,Earned It (Fifty Shades Of Grey)
Olivia Rodrigo - traitor,1855234977,1098865.0,1855234977,0,Olivia Rodrigo,traitor
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),1848847656,750685.0,1848847656,0,ZAYN,I Don’t Wanna Live Forever (Fifty Shades Darker)
Doja Cat - Woman,1847872522,769018.0,1847872522,0,Doja Cat,Woman
Måneskin - Beggin',1842576189,854741.0,1842576189,0,Måneskin,Beggin'
Queen - Under Pressure,1835863237,779363.0,1835863237,0,Queen,Under Pressure
Harry Styles - Adore You,1835532084,453699.0,1835532084,0,Harry Styles,Adore You
Ava Max - Sweet but Psycho,1831700874,440182.0,1831700874,0,Ava Max,Sweet but Psycho
Billie Eilish - everything i wanted,1830726398,744251.0,1830726398,0,Billie Eilish,everything i wanted
Eagles - Hotel California,1830224467,848858.0,1830224467,0,Eagles,Hotel California
Miley Cyrus - Party In The U.S.A.,1826530205,808195.0,1826530205,0,Miley Cyrus,Party In The U.S.A.
Future - Mask Off,1818953503,835940.0,1818953503,0,Future,Mask Off
Drake - Passionfruit,1813010270,851126.0,1813010270,0,Drake,Passionfruit
Lana Del Rey - Summertime Sadness,1807009406,1159447.0,1807009406,0,Lana Del Rey,Summertime Sadness
AC/DC - Back In Black,1806626323,760096.0,1806626323,0,AC/DC,Back In Black
Powfu - death bed (coffee for your head),1806293233,441018.0,1806293233,0,Powfu,death bed (coffee for your head)
Rihanna - Umbrella,1805309913,1003686.0,1805309913,0,Rihanna,Umbrella
The Weeknd - Save Your Tears (Remix),1803319540,790948.0,1803319540,0,The Weeknd,Save Your Tears (Remix)
Kendrick Lamar - Money Trees,1801813300,1483499.0,1801813300,0,Kendrick Lamar,Money Trees
Eminem - Love The Way You Lie,1797491866,872986.0,1797491866,0,Eminem,Love The Way You Lie
Taylor Swift - Anti-Hero,1796605947,628469.0,1796605947,0,Taylor Swift,Anti-Hero
Ed Sheeran - Shivers,1794225863,889801.0,1794225863,0,Ed Sheeran,Shivers
Post Malone - Wow.,1793840204,283850.0,1793840204,0,Post Malone,Wow.
"Train - Hey, Soul Sister",1788085396,771103.0,1788085396,0,Train,"Hey, Soul Sister"
DNCE - Cake By The Ocean,1784263069,564001.0,1784263069,0,DNCE,Cake By The Ocean
Luis Fonsi - Despacito,1783445253,251278.0,1783445253,1,Luis Fonsi,Despacito
Justin Bieber - What Do You Mean?,1782381602,763063.0,1782381602,0,Justin Bieber,What Do You Mean?
AC/DC - Thunderstruck,1777719415,962779.0,1777719415,0,AC/DC,Thunderstruck
XXXTENTACION - Everybody Dies In Their Nightmares,1777188701,470533.0,1777188701,0,XXXTENTACION,Everybody Dies In Their Nightmares
Childish Gambino - Redbone,1771871523,570551.0,1771871523,0,Childish Gambino,Redbone
Cigarettes After Sex - Apocalypse,1770586120,1582696.0,1770586120,0,Cigarettes After Sex,Apocalypse
Bastille - Pompeii,1768157329,658721.0,1768157329,0,Bastille,Pompeii
Offset - Ric Flair Drip,1767895866,577420.0,1767895866,0,Offset,Ric Flair Drip
Marshmello - Silence,1767221256,519363.0,1767221256,0,Marshmello,Silence
50 Cent - In Da Club,1761116647,820981.0,1761116647,0,50 Cent,In Da Club
Pitbull - Timber,1757489370,1114539.0,1757489370,0,Pitbull,Timber
MAGIC! - Rude,1749757594,898070.0,1749757594,0,MAGIC!,Rude
Rihanna - Love On The Brain,1749601801,1006803.0,1749601801,0,Rihanna,Love On The Brain
The Neighbourhood - Daddy Issues,1748400976,1060894.0,1748400976,0,The Neighbourhood,Daddy Issues
Trevor Daniel - Falling,1742792957,399608.0,1742792957,0,Trevor Daniel,Falling
Justin Bieber - Peaches,1742189098,437688.0,1742189098,0,Justin Bieber,Peaches
Sam Smith - Unholy,1741651196,515897.0,1741651196,0,Sam Smith,Unholy
Calvin Harris - Summer,1739807019,1029663.0,1739807019,0,Calvin Harris,Summer
Imagine Dragons - Enemy,1739343532,720946.0,1739343532,0,Imagine Dragons,Enemy
Panic! At The Disco - High Hopes,1739040037,406288.0,1739040037,0,Panic! At The Disco,High Hopes
Maroon 5 - Moves Like Jagger,1735950292,954743.0,1735950292,0,Maroon 5,Moves Like Jagger
Frank Ocean - Pink + White,1732702896,1300763.0,1732702896,0,Frank Ocean,Pink + White
Kings of Leon - Sex on Fire,1731332448,1066155.0,1731332448,0,Kings of Leon,Sex on Fire
Harry Styles - Sign of the Times,1729836671,1206853.0,1729836671,0,Harry Styles,Sign of the Times
Maroon 5 - Girls Like You,1728211607,283905.0,1728211607,0,Maroon 5,Girls Like You
Billie Eilish - ocean eyes,1726378995,1028943.0,1726378995,0,Billie Eilish,ocean eyes
Beyoncé - Halo,1726045273,718168.0,1726045273,0,Beyoncé,Halo
Gorillaz - Feel Good Inc.,1722549234,1593609.0,1722549234,0,Gorillaz,Feel Good Inc.
Coldplay - Fix You,1720173194,1173539.0,1720173194,0,Coldplay,Fix You
Post Malone - I Fall Apart,1718218660,279280.0,1718218660,0,Post Malone,I Fall Apart
The Weeknd - One Of The Girls,1714364050,2428742.0,1714364050,0,The Weeknd,One Of The Girls
Cardi B - I Like It,1713887986,283960.0,1713887986,0,Cardi B,I Like It
Backstreet Boys - I Want It That Way,1712795416,878770.0,1712795416,0,Backstreet Boys,I Want It That Way
Ariana Grande - One Last Time,1712246402,829818.0,1712246402,0,Ariana Grande,One Last Time
Taylor Swift - Lover,1711845875,869654.0,1711845875,0,Taylor Swift,Lover
DaBaby - ROCKSTAR,1708046360,221693.0,1708046360,0,DaBaby,ROCKSTAR
Daniel Caesar - Best Part,1707185750,865516.0,1707185750,0,Daniel Caesar,Best Part
Miguel - Sure Thing,1700243146,1029518.0,1700243146,0,Miguel,Sure Thing
Khalid - Young Dumb & Broke,1698906388,645118.0,1698906388,0,Khalid,Young Dumb & Broke
Dua Lipa - IDGAF,1696486522,362216.0,1696486522,0,Dua Lipa,IDGAF
Tate McRae - greedy,1694782698,1602602.0,1694782698,0,Tate McRae,greedy
The Script - Hall of Fame,1694713096,596524.0,1694713096,0,The Script,Hall of Fame
XXXTENTACION - Revenge,1688326019,762097.0,1688326019,0,XXXTENTACION,Revenge
Bruno Mars - Talking to the Moon,1688284152,1207642.0,1688284152,0,Bruno Mars,Talking to the Moon
Bad Bunny - Tití Me Preguntó,1684307032,696734.0,1684307032,0,Bad Bunny,Tití Me Preguntó
Black Eyed Peas - I Gotta Feeling,1680313427,936369.0,1680313427,0,Black Eyed Peas,I Gotta Feeling
XXXTENTACION - Hope,1679574321,625238.0,1679574321,0,XXXTENTACION,Hope
Eminem - Godzilla,1678258153,664055.0,1678258153,0,Eminem,Godzilla
Rihanna - Needed Me,1675003419,555478.0,1675003419,0,Rihanna,Needed Me
Major Lazer - Cold Water,1671558204,472188.0,1671558204,0,Major Lazer,Cold Water
DJ Snake - Taki Taki,1669732037,352879.0,1669732037,0,DJ Snake,Taki Taki
Adele - Hello,1667756919,411849.0,1667756919,0,Adele,Hello
Lil Tecca - Ransom,1666528546,1018248.0,1666528546,0,Lil Tecca,Ransom
Katy Perry - Dark Horse,1661897824,776981.0,1661897824,0,Katy Perry,Dark Horse
Clean Bandit - Rockabye,1661416725,426120.0,1661416725,0,Clean Bandit,Rockabye
White Noise Baby Sleep - Clean White Noise,1661309552,315563.0,1661309552,0,White Noise Baby Sleep,Clean White Noise
Milky Chance - Stolen Dance,1660820571,806365.0,1660820571,0,Milky Chance,Stolen Dance
Travis Scott - BUTTERFLY EFFECT,1660183133,710215.0,1660183133,0,Travis Scott,BUTTERFLY EFFECT
Maroon 5 - She Will Be Loved,1659821963,1079327.0,1659821963,0,Maroon 5,She Will Be Loved
Anne-Marie - 2002,1654054861,566573.0,1654054861,0,Anne-Marie,2002
Zara Larsson - Lush Life,1653499073,735859.0,1653499073,0,Zara Larsson,Lush Life
Carly Rae Jepsen - Call Me Maybe,1643854492,836751.0,1643854492,0,Carly Rae Jepsen,Call Me Maybe
Clean Bandit - Symphony,1643086778,514121.0,1643086778,0,Clean Bandit,Symphony
Steve Lacy - Dark Red,1642244767,972717.0,1642244767,0,Steve Lacy,Dark Red
Metallica - Enter Sandman (Remastered),1640279283,922828.0,1640279283,0,Metallica,Enter Sandman (Remastered)
Coldplay - Hymn for the Weekend,1640202292,875645.0,1640202292,0,Coldplay,Hymn for the Weekend
